"Index","GSPC.Adjusted","AAA","DGS1","GSPC.Adjusted.1"
"1990-06-01",363.160004,9.26,8.06,0.0053286144942355
"1990-06-04",367.399994,9.26,8.07,0.0116076369320659
"1990-06-05",366.640015,9.26,8.09,-0.00207067533711669
"1990-06-06",364.959991,9.26,8.09,-0.00459274723709324
"1990-06-07",363.149994,9.26,8.07,-0.00497177834576235
"1990-06-08",358.709991,9.26,8.07,-0.0123017180203862
"1990-06-11",361.630005,9.26,8.09,0.00810736599501283
"1990-06-12",366.25,9.26,8.09,0.0126945568265722
"1990-06-13",364.899994,9.26,8.02,-0.00369283333173698
"1990-06-14",362.899994,9.26,8,-0.00549602931399651
"1990-06-15",362.910004,9.26,8.05,2.75829763394242e-05
"1990-06-18",356.880005,9.26,8.11,-0.0167552758315628
"1990-06-19",358.470001,9.26,8.15,0.00444537248908539
"1990-06-20",359.100006,9.26,8.16,0.00175594062106921
"1990-06-21",360.470001,9.26,8.14,0.00380782034277427
"1990-06-22",355.429993,9.26,8.12,-0.0140804338894203
"1990-06-25",352.309998,9.26,8.19,-0.00881684022706608
"1990-06-26",352.059998,9.26,8.19,-0.000709854229786977
"1990-06-27",355.140015,9.26,8.14,0.00871051023057579
"1990-06-28",357.630005,9.26,8.07,0.00698682621139834
"1990-06-29",358.019989,9.26,8.05,0.00108987365855473
"1990-07-02",359.540009,9.24,8.06,0.00423664161275017
"1990-07-03",360.160004,9.24,8.01,0.0017229266143417
"1990-07-05",355.679993,9.24,8.02,-0.0125169577293223
"1990-07-06",358.420013,9.24,8.14,0.00767408885026466
"1990-07-09",359.519989,9.24,8.19,0.00306425845512859
"1990-07-10",356.48999,9.24,8.21,-0.00846361692190101
"1990-07-11",361.230011,9.24,8.18,0.0132087441049826
"1990-07-12",365.440002,9.24,7.98,0.0115872074766958
"1990-07-13",367.309998,9.24,7.89,0.00510406021063314
"1990-07-16",368.950012,9.24,7.89,0.00445499331802868
"1990-07-17",367.519989,9.24,7.88,-0.00388345701866299
"1990-07-18",364.220001,9.24,7.87,-0.00901962559717706
"1990-07-19",365.320007,9.24,7.87,0.00301561757149393
"1990-07-20",361.609985,9.24,7.84,-0.0102074594630261
"1990-07-23",355.309998,9.24,7.81,-0.0175755992903266
"1990-07-24",355.790009,9.24,7.88,0.00135005222382834
"1990-07-25",357.089996,9.24,7.87,0.00364714519100318
"1990-07-26",355.910004,9.24,7.9,-0.00330993850575645
"1990-07-27",353.440002,9.24,7.8,-0.00696415581000753
"1990-07-30",355.549988,9.24,7.75,0.00595210724852357
"1990-07-31",356.149994,9.24,7.72,0.00168612099852883
"1990-08-01",355.519989,9.41,7.63,-0.00177049806685758
"1990-08-02",351.480011,9.41,7.7,-0.0114286335867959
"1990-08-03",344.859985,9.41,7.56,-0.0190143478478015
"1990-08-06",334.429993,9.41,7.63,-0.0307109249019666
"1990-08-07",334.829987,9.41,7.75,0.00119533233595348
"1990-08-08",338.350006,9.41,7.73,0.0104579789012913
"1990-08-09",339.940002,9.41,7.72,0.00468825692124497
"1990-08-10",335.519989,9.41,7.67,-0.0130876029639175
"1990-08-13",338.839996,9.41,7.65,0.00984647338968969
"1990-08-14",339.390015,9.41,7.69,0.00162192504505754
"1990-08-15",340.059998,9.41,7.68,0.00197213394459883
"1990-08-16",332.390015,9.41,7.81,-0.022813043327421
"1990-08-17",327.829987,9.41,7.8,-0.0138138817341664
"1990-08-20",328.51001,9.41,7.84,0.00207216761567519
"1990-08-21",321.859985,9.41,7.9,-0.0204506875158783
"1990-08-22",316.549988,9.41,7.94,-0.0166354527048025
"1990-08-23",307.059998,9.41,7.99,-0.0304380073640642
"1990-08-24",311.51001,9.41,7.96,0.0143883108252885
"1990-08-27",321.440002,9.41,7.89,0.0313794347459693
"1990-08-28",321.339996,9.41,7.94,-0.000311167121310518
"1990-08-29",324.190002,9.41,7.85,0.00883002967045066
"1990-08-30",318.709991,9.41,7.83,-0.0170481996745995
"1990-08-31",322.559998,9.41,7.76,0.0120075890793867
"1990-09-04",323.089996,9.56,7.76,0.00164175055825577
"1990-09-05",324.390015,9.56,7.74,0.00401563206538214
"1990-09-06",320.459991,9.56,7.74,-0.0121891063710855
"1990-09-07",323.399994,9.56,7.73,0.0091324930950254
"1990-09-10",321.630005,9.56,7.79,-0.00548809650805904
"1990-09-11",321.040009,9.56,7.81,-0.00183607808952058
"1990-09-12",322.540009,9.56,7.75,0.00466143346333414
"1990-09-13",318.649994,9.56,7.7,-0.012133884525019
"1990-09-14",316.829987,9.56,7.72,-0.00572799153584214
"1990-09-17",317.769989,9.56,7.73,0.00296250464241687
"1990-09-18",318.600006,9.56,7.73,0.00260860027089915
"1990-09-19",316.600006,9.56,7.79,-0.00629724991007041
"1990-09-20",311.480011,9.56,7.81,-0.0163040003742161
"1990-09-21",311.320007,9.56,7.77,-0.000513821447963636
"1990-09-24",304.589996,9.56,7.83,-0.0218547477272564
"1990-09-25",308.26001,9.56,7.85,0.0119770183098877
"1990-09-26",305.059998,9.56,7.84,-0.0104351431430212
"1990-09-27",300.970001,9.56,7.72,-0.0134978766854825
"1990-09-28",306.049988,9.56,7.69,0.016737852757581
"1990-10-01",314.940002,9.53,7.63,0.0286337027548811
"1990-10-02",315.209991,9.53,7.61,0.000856903973719625
"1990-10-03",311.399994,9.53,7.57,-0.0121608146843242
"1990-10-04",312.690002,9.53,7.56,0.00413405068337713
"1990-10-05",311.5,9.53,7.51,-0.00381295258794445
"1990-10-08",313.480011,9.53,7.51,0.00633625904711366
"1990-10-09",305.100006,9.53,7.64,-0.027095985886314
"1990-10-10",300.390015,9.53,7.64,-0.0155579310654028
"1990-10-11",295.459991,9.53,7.6,-0.0165482468904194
"1990-10-12",300.029999,9.53,7.59,0.0153490328910495
"1990-10-15",303.230011,9.53,7.58,0.0106091634171115
"1990-10-16",298.920013,9.53,7.58,-0.014315607188661
"1990-10-17",298.76001,9.53,7.6,-0.000535413591436829
"1990-10-18",305.73999,9.53,7.59,0.0230944259048096
"1990-10-19",312.480011,9.53,7.55,0.0218054674652635
